Nom_atelier,type_atelier,annee,lieu_thatcamp,geoloc,Auteurs,Genre,Statuts,poste_temporaire,Fonction,Forme_interrogative,Institutions,Ville,keywords,liens_atelier,observations
Les outils collaboratifs / Collaboration tools,,2010,Paris,"48.857730, 2.352069",Muriel Foulonneau;Frédéric Clavert,F;M,IR;chercheur,oui, Reference modelling Knowledge systems researcher,NON,Centre de Recherche Public Henri Tudor; Centre virtuel de la connaissance sur l’Europe,"Luxembourg
",,,
"Les archives de chercheurs : classification, archivage et dissémination… Quelles méthodes pour promouvoir les formats ouverts et libres ?",,2010,Paris,"48.857730, 2.352069",Richard Walter,M,IR,non,,OUI,"CNRS
",Nancy,,,
"Le chercheur et la diffusion de ses sources : nécessités, risques, contraintes, reconnaissances ?",,2010,Paris,"48.857730, 2.352069",Marin Dacos,M,IR,non, Directeur Cléo ,OUI,CNRS,Marseille,,,
"Enseignement supérieur et Digital Humanities : questions de formation, définition d’un socle commun transdisciplinaire et des applications propres aux disciplines",,2010,Paris,"48.857730, 2.352069",Besnard,F,MCF,non,Chef du Département Services et Réseaux de Communication,NON,Université Paris 1,Paris,,,
Fouille de données et Sciences Humaines ou fouille de données en Sciences Humaines,,2010,Paris,"48.857730, 2.352069",Julien Velcin,"M
",MCF,non,,NON,Lyon 2,Lyon,,,
Les fonds iconographiques numériques,,2010,Paris,"48.857730, 2.352069",Stéphane Pouyllau,M,IR,,Responsable des développements technologiques en digital humanities,NON,CNRS,Paris,,,
Les SIG géo-historiques,,2010,Paris,"48.857730, 2.352069",Jean-Luc Pinol;Claire-Charlotte Butez,M;F,PR;IE,non;non,,NON,,,,,
Les archives orales et le web,,2010,Paris,"48.857730, 2.352069",Frédéric Clavert,M,chercheur,oui,,NON,Centre virtuel de la connaissance sur l’Europe,Luxembourg,,,
"Qualité de l’information, maintien collaboratif des ontologies, infrastructure mutualisée : quel socle technologique pour les digital humanities ?",,2010,Paris,"48.857730, 2.352069",Damien Roussat,M,IE,oui,Gérant de société d’ingénierie en systèmes d’information ,OUI,"Paris Ouest
",,,,
Le défi du stockage collaboratif et cumulatif de l’information historique. Quelle modélisation pour l’information historique ?,,2010,Paris,"48.857730, 2.352069",Francesco Beretta;Pierre Vernus,M;M,"CR;EC
",non,,OUI,,,,,Statut : est-ce lui ? https://www.linkedin.com/profile/view?id=14299364&authType=NAME_SEARCH&authToken=3p-r&locale=fr_FR&trk=tyah&trkInfo=clickedVertical%3Amynetwork%2Cidx%3A1-1-1%2CtarId%3A1433930227513%2Ctas%3ADamien%20Roussat
"L’archivage numérique à long terme, défis et solutions",,2010,Paris,"48.857730, 2.352069",Sarah Faraud;Gautier Poupeau,F;F,NULL;entrepreneur,oui;non,,NON,,,,,
L’encodage TEI peut-il être délégué à des ingénieurs ou techniciens ?,,2010,Paris,"48.857730, 2.352069",Emmanuelle Morlock-Gerstenkorn,F,IE,"non
",,OUI,,,,,
Analyse de données en ligne : quels intérêts et avenir pour les SHS ?,,2010,Paris,"48.857730, 2.352069",Stéphane Lamassé;Philippe Rygiel,M;M,MCF;MCF,non;non,,OUI,,,,,
"Les enjeux du numérique pour les jeunes chercheurs en SHS: visibilité, citabilité, pérennité",,2010,Paris,"48.857730, 2.352069",Karim Hammou;Émilie Bremond,M;M,,,,NON,,,,,
What is the future for today Graduate Students in DH,,2011,Lausanne,"46.521739, 6.580182","Mills Kelly
",,,,,,"CHNM, George Mason Uni.",,,,
"Digital texts
","
THATCamp",2011,Lausanne,"46.521739, 6.580182","
Jürgen Rolshoven;Florentin Lutz",,,,,,,,,,
European Association of DH,THATCamp,2011,Lausanne,"46.521739, 6.580182",Frédéric Clavert,M,chercheur,oui,,,Centre virtuel de la connaissance sur l’Europe,Luxembourg,,,
Websites as primary sources ,THATCamp,2011,Lausanne,"46.521739, 6.580182",Serge Noiret,M,bibliothécaire,,,,,,,,Statut : ? statut européen à traduire http://www.eui.eu/Documents/AboutEUI/Organization/EmployeesUnion/AssembleeNew/WGPromotionsAnnex.pdf
Advanced wordpress,THATCamp,2011,Lausanne,"46.521739, 6.580182",Pierre Mounier,M,PRCE,,"Chargé des études, usages et formations",,EHESS,,,,
New Forms of Publication,THATCamp,2011,Lausanne,"46.521739, 6.580182",Terra,,,,,,,,,,
Mobile Computing ,THATCamp,2011,Lausanne,"46.521739, 6.580182",Stefan Keller,,,,,,,,,,
Historical Source Criticism ,THATCamp,2011,Lausanne,"46.521739, 6.580182",Pascal,,,,,,,,,,
What do we need from archives/institutional repositories ,THATCamp,2011,Lausanne,"46.521739, 6.580182",Frédéric Clavert;Jean,M;,chercheur;,,,,Centre virtuel de la connaissance sur l’Europe,Luxembourg,,,
